149	None	AZoM/MatWeb: Stainless Steel Grade 201 (UNS S20100)	1	SUS201_annealed Bilinear
154	https://www.azom.com/article.aspx?ArticleID=1140	AZoM: Stainless Steel - Magnetic Properties	4	SUS201_annealed Bilinear; SUS410_annealed Bilinear; SUS420_annealed Bilinear; SUS_17-4PH_H900 Bilinear
41	https://www.azom.com/article.aspx?ArticleID=6780	AZoM: Stainless Steel Grade 201	1	SUS201_annealed Bilinear
791	None	ASM Metals Handbook — Properties and Selection: Irons, Steels, and High-Performance Alloys	5	SUS201_annealed Bilinear; SUS410_annealed Bilinear; SUS420_annealed Bilinear; SUS_17-4PH_H900 Bilinear
972	None	Handbook of Infrared Radiation — emissivity tables (Touloukian TPRC Data Series)	102	SUS201_annealed Bilinear; SUS410_annealed Bilinear; SUS420_annealed Bilinear; SUS_17-4PH_H900 Bilinear
2531	https://steel-sci.com/assets/outokumpu-stainless-steel-handbook.pdf	Outokumpu, Handbook of Stainless Steel — Table 2:1 (Steel grades, chemical composition) 및 Glossary 'Microstructure' 항	4	SUS201_annealed Bilinear; SUS410_annealed Bilinear; SUS420_annealed Bilinear; SUS_17-4PH_H900 Bilinear
2303	None	Galvanic Series of Metals in Seawater — corrosion potential (volts DC ref. Ag/AgCl), Ref. ABYC	7	SUS410_annealed Bilinear; SCM440_alloy_steel Bilinear; Al1100-O Bilinear; Al3003-H14 Bilinear
2462	https://pmc.ncbi.nlm.nih.gov/articles/PMC11356734/	Evaluation of Passive Films on 17-7PH and 410 Stainless Steel Exposed to NaCl Solution	1	SUS410_annealed Bilinear
54	https://www.azom.com/properties.aspx?ArticleID=970	AZoM Properties: Stainless Steel Grade 410 (UNS S41000)	1	SUS410_annealed Bilinear
53	https://www.azom.com/article.aspx?ArticleID=970	AZoM: Stainless Steel Grade 410 (UNS S41000)	1	SUS410_annealed Bilinear
55	https://asm.matweb.com/search/SpecificMaterial.asp?bassnum=MQ410DD	MatWeb: AISI Type 410 Stainless Steel	1	SUS410_annealed Bilinear
58	https://www.azom.com/properties.aspx?ArticleID=972	AZoM Properties: Stainless Steel Grade 420 (UNS S42000)	1	SUS420_annealed Bilinear
57	https://asia.matweb.com/search/SpecificMaterialPrint.asp?bassnum=mq420b	MatWeb: AISI Type 420 Stainless Steel	1	SUS420_annealed Bilinear
56	https://www.azom.com/article.aspx?ArticleID=972	AZoM: Stainless Steel Grade 420 (UNS S42000)	1	SUS420_annealed Bilinear
2461	https://pmc.ncbi.nlm.nih.gov/articles/PMC12028360/	The Effect of Aging Treatment on the Corrosion Behavior of 17-4PH Stainless Steel	1	SUS_17-4PH_H900 Bilinear
180	https://www.azom.com/article.aspx?ArticleID=2819	AZoM: Precipitation Hardening Stainless Steels (17-4PH, UNS S17400)	1	SUS_17-4PH_H900 Bilinear
62	https://www.sandmeyersteel.com/wp-content/uploads/17-4PH-Spec-Sheet.pdf	Sandmeyer Steel: Alloy 17-4PH Spec Sheet (UNS S17400)	1	SUS_17-4PH_H900 Bilinear
1854	https://specialtysteelsupply.com/wp-content/docs/17-4ph.pdf	17-4 PH Stainless Steel Technical Datasheet (ASTM A564 mechanical properties)	1	SUS_17-4PH_H900 Bilinear
2940	https://fde.uwaterloo.ca/Fde/Materials/SSteel/17-4_16-4_15-5PH/boeing17-4PH-H900.html	Boeing Co., 'Fatigue Properties of 17-4PH and 15-5PH Steel in the H-900 and H-1050 Condition', Aug. 1968 (DTIC AD0691794), transcribed as SAE FD&E standard fatigue data file	1	SUS_17-4PH_H900 Bilinear
2472	https://atlassteels.com.au/wp-content/uploads/2021/07/Stainless-Steel-630-17-4PH-Grade-Data-Sheet-28-04-21.pdf	Stainless Steel Grade 630 (17-4PH) Grade Data Sheet (Atlas Steels, 28-04-21) - mechanical property specification from ASTM A564M	1	SUS_17-4PH_H900 Bilinear
95	https://www.makeitfrom.com/material-properties/SAE-AISI-4140-SCM440-G41400-Cr-Mo-Steel	MakeItFrom: SAE-AISI 4140 (SCM440)	1	SCM440_alloy_steel Bilinear
212	https://www.azom.com/article.aspx?ArticleID=23554	AZoM: Magnetic Properties of Steel and Their Technological Applications	1	SCM440_alloy_steel Bilinear
2068	https://matmake.com/properties/bulk-modulus-of-common-materials.html	Bulk Modulus of Common Materials - Table	8	SCM440_alloy_steel Bilinear; Al1050-O Bilinear; Al1100-O Bilinear; Mg_ZK60A_T5 Bilinear
