111	Liquid Electrolyte (LiPF6 carbonate)	youngs_modulus, expansion_linear	345	datasheet	https://solvionic.com/files/solvionic/fds/E001_SDS_EN_UE.pdf		Safety Data Sheet - 1M LiPF6 in DMC:EC 1:1 (vol.), battery grade (E001)
111	Liquid Electrolyte (LiPF6 carbonate)	youngs_modulus, expansion_linear	346	journal		10.1149/2.0011507jes	Fluoroethylene Carbonate as Electrolyte Additive in Tetraethylene Glycol Dimethyl Ether Based Electrolytes for Applicati
111	Liquid Electrolyte (LiPF6 carbonate)	youngs_modulus, expansion_linear	3017	journal	https://www.osti.gov/biblio/1960071	10.1002/eem2.12494	Solvation Effects on the Dielectric Constant of 1 M LiPF6 in Ethylene Carbonate:Ethyl Methyl Carbonate 3:7
111	Liquid Electrolyte (LiPF6 carbonate)	youngs_modulus, expansion_linear	689	book			CRC Handbook of Chemistry and Physics, 97th ed.
111	Liquid Electrolyte (LiPF6 carbonate)	youngs_modulus, expansion_linear	2576	computed	https://github.com/squall321/MaterialTwinWeb		MaterialTwinWeb 클래스 가정 — 카탈로그 내 동일 클래스 실측값의 중앙값
111	Liquid Electrolyte (LiPF6 carbonate)	youngs_modulus, expansion_linear	972	book			Handbook of Infrared Radiation — emissivity tables (Touloukian TPRC Data Series)
111	Liquid Electrolyte (LiPF6 carbonate)	youngs_modulus, expansion_linear	1795	journal	https://doi.org/10.1016/j.jpowsour.2021.230829	10.1016/j.jpowsour.2021.230829	Meta-analysis of experimental results for heat capacity and thermal conductivity in lithium-ion batteries: A critical re
111	Liquid Electrolyte (LiPF6 carbonate)	youngs_modulus, expansion_linear	2093	database	https://pubchem.ncbi.nlm.nih.gov/compound/23688915		PubChem Compound Summary — Lithium hexafluorophosphate (CID 23688915)
212	PI Base Film — Kapton 150MT+ (DuPont)	expansion_linear	3077	datasheet	https://web.archive.org/web/20230403204808id_/https://www.dupont.com/content/dam/dupont/amer/us/en/ei-transformation/public/documents/en/EI-10142_Kapton-Summary-of-Properties.pdf		DuPont Kapton Summary of Properties (document EI-10142 (1/22)), Table 10 — Chemical Properties of Kapton Type HN Film, 2
212	PI Base Film — Kapton 150MT+ (DuPont)	expansion_linear	1741	datasheet	https://www.qnityelectronics.com/content/dam/electronics/amer/us/en/electronics/public/documents/en/EI-10218-Kapton-MT+Data-Sheet.pdf		DuPont™ Kapton® MT+ Thermally Conductive Polyimide Film — Data Sheet (EI-10218 / QE-10218)
