jiep	https://www.jstage.jst.go.jp/article/jiep1998/7/1/7_1_54/_pdf
coat1976	https://res.mdpi.com/d_attachment/coatings/coatings-12-01976/article_deploy/coatings-12-01976.pdf
nsf10332776	https://par.nsf.gov/servlets/purl/10332776
gatech_tsv	https://repository.gatech.edu/server/api/core/bitstreams/d378984a-1232-4800-9d74-95ce185f5200/content
sandia	https://www.osti.gov/servlets/purl/1213488
jspmee	https://www.jstage.jst.go.jp/article/jspmee/7/4/7_146/_pdf
polym930	https://res.mdpi.com/d_attachment/polymers/polymers-16-00930/article_deploy/polymers-16-00930.pdf
arxiv_bs	https://arxiv.org/pdf/2305.17810
acf_hitachi	https://storage.ua.prom.st/1446883_a966296d53b685a261.pdf
dymax29	https://focenter.com/media/wysiwyg/documents/AngstromBond---Fiber-Optic-Center-Dymax-OP-29-UV-Optical-Adhesive-(3ml)-Fiber-Optic-Center.pdf
tb3062u	https://threebond.com/wp-content/uploads/2019/01/ThreeBond-3062U-uv-curing-resin.pdf
dowsil993	https://www.esco.ae/assets/pdf/products/AGPD/DOWSIL/993/TDS.pdf
dowsil3145	https://www.farnell.com/datasheets/3283105.pdf
noa61	https://norlandproducts.com/wp-content/uploads/2025/02/Norland-Products-NOA-61-TDS.pdf
noa65	https://norlandproducts.com/wp-content/uploads/2025/02/NOA-65-TDS.pdf
toppan_gxpf	https://www.toppan-usa.com/products/gx-p-f/
toppan_glrd	https://www.toppan-usa.com/products/gl-rd/
uta_diss	https://mavmatrix.uta.edu/cgi/viewcontent.cgi?article=1376&context=mechaerospace_dissertations
