gt_passives	https://repository.gatech.edu/bitstreams/e1f5b0c2-0000-0000-0000-000000000000/download
pmc_pe	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6432432/fullTextXML
pmc_siox	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6412199/fullTextXML
pdms_firpo	https://res.mdpi.com/d_attachment/polymers/polymers-11-00910/article_deploy/polymers-11-00910.pdf
pdms_rao	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10674475/fullTextXML
pi_memb	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12693044/fullTextXML
polyurea	https://res.mdpi.com/d_attachment/polymers/polymers-17-00385/article_deploy/polymers-17-00385.pdf
iniguez	https://res.mdpi.com/d_attachment/materials/materials-12-01019/article_deploy/materials-12-01019.pdf
nr5060	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12693752/fullTextXML
nrsbr	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11398033/fullTextXML
oca_ss	https://www.oaepublish.com/articles/ss.2024.22
lexan8010_alt	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9890669/fullTextXML
mylar_a	https://usa.dupontteijinfilms.com/wp-content/uploads/2017/01/Mylar_Physical_Properties.pdf
melinex	https://usa.dupontteijinfilms.com/wp-content/uploads/2017/01/Melinex_ST504.pdf
noa61b	https://www.norlandprod.com/adhesives/NOA%2061.html
tb3062u_b	https://threebond.com/download/threebond-3062U-uv-curing-resin
